id	label	x	y	cluster	weight<Links>	weight<Total link strength>
240	"handling thin or filamentary material, e.g. sheets, webs, cables"	-0.3767	-0.6781	2	643	11362.3172
241	elevators	-0.5292	0.0943	1	615	2577.3722
242	cranes	-0.2741	0.1915	1	631	4719.2542
243	capstans	-0.3919	0.1705	1	587	2491.144
244	"hoisting, lifting, hauling or pushing, not otherwise provided for,"	-0.4044	0.2361	1	627	4901.1328
245	"applying closure members to bottles jars, or similar containers"	0.2196	-0.2841	5	603	2148.8358
246	"cleaning, filling with liquids or semiliquids, or emptying, of bottles, jars,"	0.3196	-0.2828	5	600	2651.9642
247	"dispensing, delivering or transferring liquids, not otherwise"	0.2913	0.0673	5	640	6405.213
248	harness	-0.4888	-0.1491	1	439	838.3556
249	b68c	-0.4664	-0.1631	1	453	722.2472
250	"making articles from leather, canvas, or the like"	-0.3161	-0.4843	2	150	172.9126
251	"methods, equipment, or machines for use in upholstering"	-0.3254	-0.3887	1	559	2397.921
252	"micro-structural devices or systems, e.g. micro-mechanical"	-0.5997	0.2126	4	622	10418.338
253	processes or apparatus specially adapted for the manufacture or treatment of	-0.461	0.0826	4	623	11298.1496
254	"nano-structures formed by manipulation of individual atoms, molecules, or lim"	0.6651	0.0928	5	520	6574.027
255	specific uses or applications of nano-structures	0.1263	-0.1256	4	645	23960.4756
256	non-metallic elements	0.7763	0.4115	3	647	18617.0142
257	ammonia	0.9071	0.5102	3	563	3910.5944
258	"compounds of alkali metals, i.e. lithium, sodium, potassium,"	0.9534	0.367	3	555	3797.3536
259	"compounds of the metals beryllium, magnesium, aluminium, calcium, strontium,"	0.8678	0.2763	3	605	7647.1102
260	compounds containing metals not covered	0.7524	0.2576	3	617	10307.5488
261	indexing scheme relating to structural and physical aspects of solid inorgani	0.6743	-0.0751	3	635	14574.4564
262	"treatment of water, waste water, sewage, or sludge"	0.7048	0.2144	5	649	12960.4272
263	"manufacture, shaping, or supplementary processes"	0.4501	0.1217	6	641	6827.0512
264	"chemical composition of glasses, glazes, or vitreous enamels"	0.3957	-0.0231	6	644	9818.3664
265	"lime, magnesia"	0.5765	0.0461	6	645	16657.4184
266	phosphatic fertilisers	1.3608	0.1398	5	493	7127.097
267	nitrogenous fertilisers	1.3149	0.1592	5	528	7499.2558
268	"inorganic fertilisers not covered by subclasses c05b, c05c"	1.308	0.1158	5	553	8519.201
269	"organic fertilisers not covered by subclasses c05b, c05c, e.g."	1.1804	0.1178	5	605	9599.1634
270	mixtures of fertilisers covered individually by different subclasses of class	1.2581	0.1026	5	588	8833.7082
271	explosives or thermic compositions	0.4182	0.6871	1	607	4875.4228
272	detonating or priming devices	0.3088	0.7151	1	537	3095.1136
273	means for generating smoke or mist	0.3971	0.7359	1	566	2960.454
274	matches	0.3904	0.6427	1	91	100.1684
275	general methods of organic chemistry	1.0197	-0.0748	5	598	12808.4636
276	acyclic or carbocyclic compounds	0.9559	-0.1001	5	646	14847.9898
277	heterocyclic compounds	1.0018	-0.3298	5	643	8525.5986
278	"acyclic, carbocyclic or heterocyclic compounds containing elements other than"	0.8717	-0.2293	5	631	10439.7672
279	compounds of unknown constitution	1.0921	-0.1502	5	434	3275.0326
280	sugars	1.1441	-0.1485	5	622	12483.049
281	steroids	1.2532	-0.3586	5	497	2337.2648
282	peptides	1.1601	-0.278	5	637	11551.3752
283	"polysaccharides; derivatives thereof"	0.8196	-0.6971	5	614	12166.001
284	treatment or chemical modification of rubbers	0.6352	-0.3436	2	563	2645.7406
285	macromolecular compounds obtained by reactions only involving carbon-to-carbo	0.6976	-0.5273	2	644	13327.8604
286	macromolecular compounds obtained otherwise than by reactions only involving	0.6333	-0.5963	2	648	18671.3722
287	derivatives of natural macromolecular compounds	0.9707	-0.456	5	578	8257.339
288	working-up	0.5877	-0.6504	2	645	23682.2804
289	use of inorganic or non-macromolecular organic substances as	0.5338	-0.4867	2	648	19146.5926
290	compositions of macromolecular compounds	0.5579	-0.6042	2	649	27333.3168
291	organic dyes or closely-related compounds for producing dyes	0.3893	-0.8648	2	619	11057.3754
292	"treatment of inorganic materials, other than fibrous fillers,"	0.5283	-0.3742	2	628	9680.121
293	"coating compositions, e.g. paints, varnishes or lacquers"	0.361	-0.7305	2	645	21210.876
294	natural resins	0.9203	-0.263	5	416	945.1912
295	polishing compositions other than french polish	0.6077	-0.1408	6	596	4958.5168
296	preparation of glue or gelatine	0.7448	-0.6293	5	290	809.1158
297	adhesives	0.341	-0.6562	2	642	12247.5018
298	"materials for miscellaneous applications, not provided for elsewhere"	0.5394	0.1991	6	651	16595.3664
299	"destructive distillation of carbonageous materials for production of gas, cok"	0.9322	0.47	3	616	6379.0194
300	"working-up pitch, asphalt, bitumen, tar"	0.9107	0.2138	3	525	2350.8088
301	drying or working-up of peat	0.9922	0.2976	3	310	1115.234
302	cracking hydrocarbon oils	0.834	0.4397	6	638	15056.4854
303	production of acetylene by wet methods	0.628	0.7728	3	167	325.8402
304	"production of producer gas, water-gas, synthesis gas from solid carbonaceous"	0.9831	0.6732	3	596	9370.8554
305	purifying or modifying the chemical composition of combustible gases containi	1.0266	0.68	3	568	9136.7654
306	fuels not otherwise provided for	1.0233	0.3775	3	632	12193.8826
307	lubricating compositions	0.885	0.0997	3	629	6913.002
308	indexing scheme associated with subclass c10m relating to lubricating composi	0.9014	0.1307	3	621	6375.3512
309	"producing (pressing, extraction), refining and preserving fats, fatty substan"	1.4829	-0.4388	5	585	8274.9394
310	"fatty acids from fats, oils or waxes"	1.2509	-0.1897	5	581	6643.2434
311	detergent compositions	0.6991	-0.4112	2	639	10097.8546
312	brewing of beer	0.946	-0.2324	5	549	4282.782
313	distillation or rectification of fermented solutions	1.0388	0.322	3	424	4307.5942
314	wine	0.9044	-0.3783	5	549	4647.5108
315	pasteurisation	0.8556	-0.3882	5	554	2978.5934
316	vinegar	1.0305	-0.4396	5	171	722.5534
317	pitching or depitching machines	0.7423	-0.441	5	225	680.9646
318	apparatus for enzymology or microbiology	0.8334	0.0236	5	640	10979.6852
319	"micro-organisms or enzymes; compositions thereof"	1.2081	-0.2967	5	642	16008.5224
320	fermentation or enzyme-using processes to synthesise a desired chemical compo	1.2151	-0.2117	5	623	13939.1662
321	measuring or testing processes involving enzymes or micro- organisms	0.8145	-0.0434	5	636	17804.3136
322	processes using micro-organisms	1.2526	-0.2522	5	546	5448.0418
323	enzymes	1.2863	-0.3236	5	598	11704.216
324	production of sucrose	1.087	-0.3089	5	524	3099.8476
325	"saccharides, other than sucrose, obtained from natural sources or by hydrolys"	1.0896	-0.2264	5	516	6482.4324
326	"mechanical treatment or processing of skins, hides or leather in general"	0.0734	-0.6457	2	502	1246.9116
327	"chemical treatment of hides, skins or leather, e.g. tanning, impregnating, fi"	0.4868	-0.6915	2	534	3694.6008
328	manufacture of iron or steel	0.9083	0.6448	3	592	4656.5938
329	"processing of pig-iron, e.g. refining, manufacture of wrought- iron or steel"	0.8322	0.6672	3	596	5356.4312
330	modifying the physical structure of ferrous metals	0.435	0.3862	6	634	12862.9928
331	production and refining of metals	0.8287	0.4992	3	629	9348.1978
332	alloys	0.4057	0.2694	6	636	14020.54
